date,open,high,low,close,Volume
3/22/2013,1744.317157,1751.157617,1689.593482,1703.274401,18906158
3/25/2013,1710.11486,1744.317157,1710.11486,1744.317157,8852448
3/26/2013,1764.838536,1778.519455,1744.317157,1757.998076,11476106
3/27/2013,1723.795779,1757.998076,1710.11486,1744.317157,5790664
3/28/2013,1737.476698,1757.998076,1737.476698,1757.998076,5187192
3/29/2013,1737.476698,1792.200374,1723.795779,1778.519455,9281954
4/1/2013,1778.519455,1901.647725,1778.519455,1901.647725,22241316
4/2/2013,1915.328644,1997.414157,1915.328644,1949.530941,16631309
4/3/2013,1942.690481,1983.733238,1922.169103,1922.169103,12103102
4/4/2013,1901.647725,1963.21186,1901.647725,1915.328644,17803310
4/5/2013,1915.328644,1990.573697,1908.488184,1963.21186,32852907
4/8/2013,1990.573697,2004.254616,1956.3714,1956.3714,6148246
4/9/2013,1956.3714,1997.414157,1942.690481,1956.3714,6965004
4/10/2013,1949.530941,1976.892778,1846.924049,1846.924049,13526267
4/11/2013,1846.924049,1908.488184,1846.924049,1867.445427,14065413
4/12/2013,1867.445427,1894.807265,1826.402671,1860.604968,12765634
4/15/2013,1860.604968,1860.604968,1819.562211,1826.402671,11021462
4/16/2013,1799.040833,1846.924049,1764.838536,1833.24313,8425137
4/17/2013,1840.08359,1846.924049,1826.402671,1833.24313,6004250
4/18/2013,1785.359914,1826.402671,1778.519455,1785.359914,8615196
4/22/2013,1778.519455,1785.359914,1764.838536,1778.519455,3524009
4/23/2013,1778.519455,1812.721752,1778.519455,1812.721752,5051979
4/24/2013,1785.359914,1867.445427,1785.359914,1826.402671,6946141
4/25/2013,1819.562211,1867.445427,1819.562211,1860.604968,3021551
4/26/2013,1860.604968,1894.807265,1860.604968,1881.126346,5029610
5/2/2013,1860.604968,1942.690481,1860.604968,1922.169103,7260743
5/3/2013,1935.850022,1963.21186,1922.169103,1949.530941,5932626
5/6/2013,1949.530941,1983.733238,1949.530941,1976.892778,4170891
5/7/2013,1990.573697,1990.573697,1942.690481,1949.530941,4618092
5/8/2013,1963.21186,1983.733238,1949.530941,1983.733238,4305386
5/9/2013,1983.733238,2072.659211,1983.733238,2052.137832,9319673
5/10/2013,2052.137832,2120.542427,2052.137832,2093.180589,6213309
5/13/2013,2100.021048,2113.701967,2052.137832,2065.818751,1746207
5/14/2013,2052.137832,2058.978292,1997.414157,1997.414157,8060547
5/15/2013,2017.935535,2093.180589,2004.254616,2079.49967,4413428
5/16/2013,2086.34013,2106.861508,2072.659211,2086.34013,5923985
5/17/2013,2100.021048,2100.021048,2052.137832,2052.137832,4388125
5/20/2013,2086.34013,2141.063805,2052.137832,2141.063805,8777596
5/21/2013,2141.063805,2202.62794,2141.063805,2147.904265,14405875
5/22/2013,2168.425643,2168.425643,2141.063805,2147.904265,4218997
5/23/2013,2147.904265,2154.744724,2120.542427,2120.542427,11494666
5/24/2013,2106.861508,2168.425643,2106.861508,2147.904265,17907683
5/27/2013,2161.585183,2216.308859,2161.585183,2209.468399,13650526
5/28/2013,2216.308859,2243.670697,2216.308859,2229.989778,23403224
5/29/2013,2250.511156,2257.351616,2223.149318,2243.670697,17414017
5/30/2013,2250.511156,2250.511156,2216.308859,2243.670697,10653790
5/31/2013,2257.351616,2271.032534,2243.670697,2243.670697,13318524
6/3/2013,2223.149318,2223.149318,2195.787481,2202.62794,10067143
6/4/2013,2188.947021,2202.62794,2154.744724,2154.744724,19940882
6/5/2013,2154.744724,2175.266102,2154.744724,2175.266102,8878621
6/6/2013,2175.266102,2188.947021,2161.585183,2188.947021,4968946
6/7/2013,2188.947021,2195.787481,2175.266102,2182.106562,4587826
6/10/2013,2182.106562,2202.62794,2154.744724,2175.266102,8547207
6/11/2013,2161.585183,2175.266102,2147.904265,2147.904265,11383271
6/12/2013,2134.223346,2141.063805,2086.34013,2086.34013,16445947
6/13/2013,2086.34013,2134.223346,2086.34013,2127.382886,12662865
6/14/2013,2127.382886,2154.744724,2106.861508,2106.861508,10350162
6/17/2013,2052.137832,2079.49967,2024.775995,2045.297373,20066468
6/18/2013,2031.616454,2052.137832,2017.935535,2045.297373,14435261
6/19/2013,2024.775995,2052.137832,2024.775995,2031.616454,13698760
6/20/2013,2017.935535,2038.456913,2004.254616,2004.254616,13647444
6/21/2013,1976.892778,1976.892778,1929.009562,1929.009562,49061878
6/24/2013,1949.530941,1983.733238,1929.009562,1935.850022,11363972
6/25/2013,1929.009562,1935.850022,1812.721752,1853.764509,12088055
6/26/2013,1846.924049,1860.604968,1833.24313,1853.764509,19537558
6/27/2013,1867.445427,1949.530941,1846.924049,1949.530941,7771527
6/28/2013,1963.21186,1976.892778,1922.169103,1929.009562,7064264
7/1/2013,1915.328644,1915.328644,1874.285887,1894.807265,3161311
7/2/2013,1881.126346,1942.690481,1881.126346,1942.690481,2792478
7/3/2013,1942.690481,1949.530941,1929.009562,1929.009562,5254599
7/4/2013,1929.009562,1942.690481,1894.807265,1894.807265,11563510
7/5/2013,1922.169103,1942.690481,1908.488184,1915.328644,8501889
7/8/2013,1915.328644,1922.169103,1881.126346,1887.966806,9165733
